time,acc_x,acc_y,acc_z
2024-01-23T12:05:04,0,0,0
2024-01-23T12:05:04.010000,0,0,0
2024-01-23T12:05:04.020000,0,0,0
2024-01-23T12:05:04.030000,0,0,0
2024-01-23T12:05:04.040000,0,0,0
2024-01-23T12:05:04.050000,0,0,0
2024-01-23T12:05:04.060000,0,0,0
2024-01-23T12:05:04.070000,0,0,0
2024-01-23T12:05:04.080000,0,0,0
2024-01-23T12:05:04.090000,0,0,0
2024-01-23T12:05:04.100000,0,0,0
2024-01-23T12:05:04.110000,0,0,0
2024-01-23T12:05:04.120000,0,0,0
2024-01-23T12:05:04.130000,0,0,0
2024-01-23T12:05:04.140000,0,0,0
2024-01-23T12:05:04.150000,0,0,0
2024-01-23T12:05:04.160000,0,0,0
2024-01-23T12:05:04.170000,0,0,0
2024-01-23T12:05:04.180000,0,0,0
2024-01-23T12:05:04.190000,0,0,0
2024-01-23T12:05:04.200000,0,0,0
2024-01-23T12:05:04.210000,0,0,0
2024-01-23T12:05:04.220000,0,0,0
2024-01-23T12:05:04.230000,0,0,0
2024-01-23T12:05:04.240000,0,0,0
2024-01-23T12:05:04.250000,0,0,0
2024-01-23T12:05:04.260000,0,0,0
2024-01-23T12:05:04.270000,0,0,0
2024-01-23T12:05:04.280000,0,0,0
2024-01-23T12:05:04.290000,0,0,0
2024-01-23T12:05:04.300000,0,0,0
2024-01-23T12:05:04.310000,0,0,0
2024-01-23T12:05:04.320000,0,0,0
2024-01-23T12:05:04.330000,0,0,0
2024-01-23T12:05:04.340000,0,0,0
2024-01-23T12:05:04.350000,0,0,0
2024-01-23T12:05:04.360000,0,0,0
2024-01-23T12:05:04.370000,0,0,0
2024-01-23T12:05:04.380000,0,0,0
2024-01-23T12:05:04.390000,0,0,0
2024-01-23T12:05:04.400000,0,0,0
2024-01-23T12:05:04.410000,0,0,0
2024-01-23T12:05:04.420000,0,0,0
2024-01-23T12:05:04.430000,0,0,0
2024-01-23T12:05:04.440000,0,0,0
2024-01-23T12:05:04.450000,0,0,0
2024-01-23T12:05:04.460000,0,0,0
2024-01-23T12:05:04.470000,0,0,0
2024-01-23T12:05:04.480000,0,0,0
2024-01-23T12:05:04.490000,0,0,0
2024-01-23T12:05:04.500000,0,0,0
2024-01-23T12:05:04.510000,0,0,0
2024-01-23T12:05:04.520000,0,0,0
2024-01-23T12:05:04.530000,0,0,0
2024-01-23T12:05:04.540000,0,0,0
2024-01-23T12:05:04.550000,0,0,0
2024-01-23T12:05:04.560000,0,0,0
2024-01-23T12:05:04.570000,0,0,0
2024-01-23T12:05:04.580000,0,0,0
2024-01-23T12:05:04.590000,0,0,0
2024-01-23T12:05:04.600000,0,0,0
2024-01-23T12:05:04.610000,0,0,0
2024-01-23T12:05:04.620000,0,0,0
2024-01-23T12:05:04.630000,0,0,0
2024-01-23T12:05:04.640000,0,0,0
2024-01-23T12:05:04.650000,0,0,0
2024-01-23T12:05:04.660000,0,0,0
2024-01-23T12:05:04.670000,0,0,0
2024-01-23T12:05:04.680000,0,0,0
2024-01-23T12:05:04.690000,0,0,0
2024-01-23T12:05:04.700000,0,0,0
2024-01-23T12:05:04.710000,0,0,0
2024-01-23T12:05:04.720000,0,0,0
2024-01-23T12:05:04.730000,0,0,0
2024-01-23T12:05:04.740000,0,0,0
2024-01-23T12:05:04.750000,0,0,0
2024-01-23T12:05:04.760000,0,0,0
2024-01-23T12:05:04.770000,0,0,0
2024-01-23T12:05:04.780000,0,0,0
2024-01-23T12:05:04.790000,0,0,0
